[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:21] 移动止盈v2启动
[2026-04-21 01:29:21] 参数: 激活>8.0% | 回撤>4.0% | 止损>9.0% | 间隔5秒
[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:43:03] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:43:09] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.31%
[2026-04-21 01:43:15] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.34%
[2026-04-21 01:43:21] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.34%
[2026-04-21 01:43:26] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.34%
[2026-04-21 01:43:33] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.24%
[2026-04-21 01:43:38] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.24%
[2026-04-21 01:43:44] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.59%
[2026-04-21 01:43:50] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.59%
[2026-04-21 01:43:56] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.59%
[2026-04-21 01:44:02] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.41%
[2026-04-21 01:44:08] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.41%
[2026-04-21 01:44:14] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.41%
[2026-04-21 01:44:20] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.75%
[2026-04-21 01:44:26] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:44:31] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.80%
[2026-04-21 01:44:37] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.75%
